"You have downloaded the data from the Fruit and Nut Cultivars Database (http://www.fruitandnutlist.org) - 07-04-25"
" "
Cultivar,Description
"Amigo III","Yellow-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 276LF278 × 66Z68. USPP 27,294; 25 Oct. 2015. Fruit: large, 161.9 g; globose; exposed yellow ground color gives speckled appearance on red blush; firm; can hold firm on tree for up to 3 weeks; flavor very good, sweetness and acidity balanced, 17.6 °Brix; keeping and shipping quality good; ripens 11-21 July near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement moderate, 650 h; leaf glands globose."
"Autumn Bill","Yellow-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 138LM256 × 5HD617. USPP 28,399; 19 Sept. 2017. Fruit: large, 150.5 g; firm; skin dark red; flavor very good, sweetness and acidity balanced; 18 °Brix; keeping and shipping quality good; ripens 15-25 Oct. near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement high, 900 h; leaf glands globose."
"Autumn Charm","Yellow-fleshed, freestone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 51ME458 O.P. USPP 27,825; 4 April 2017. Fruit: large, 198.8 g; elongated; skin red; firm; flavor very good, sweetness and acidity balanced, 16 °Brix; keeping and shipping quality good; ripens 7-17 Oct. near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement high, 900 h; leaf glands globose."
"Autumn Fritz","Yellow-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 19HD447 × 31M208. USPP 27,065; 16 Aug. 2016. Fruit: medium to large, 159 g; globose; skin attractive red; firm; flavor good, sweetness and acidity balanced; 19 °Brix; keeping and shipping quality good; ripens 20-28 Oct. near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement high, 1000 h; leaf glands globose."
"Autumn Magic","Yellow-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 28MF660 × O.P. USPP 27,543; 17 Jan. 2017. Fruit: medium, 150.5 g; globose; skin dark red; firm; flavor good, balanced, 21 °Brix; keeping and shipping quality good; ripens 2-11 Oct. near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement moderate, 750 h; leaf glands globose."
"Blackred VII","Red-fleshed, clingstone Asian plum. Origin: B Q Genetics, Le Grand, CA, by L.G. Bradford and J.M. Quisenberry. 19P442 O.P. USPP 31,959; 14 July 2020. Fruit: medium, 161.6 g; very oblate; skin black; flesh mostly red, firm, juicy; flavor balances sweetness and acidity; 16-17 °Brix; ripens 1-20 Aug. in San Joaquin Valley, CA. Tree: medium to large; vigorous; hardy; productive; flowers white, self-incompatible; leaf glands small, globose."
"Blackred X","Red-fleshed, semi-freestone interspecific plum. Origin: B Q Genetics, Le Grand, CA, by J.M. Quisenberry and L.G. Bradford. Blackred V O.P. USPP 33,354; 17 Aug. 2021. Fruit: medium-large, 173 g; globose; uniform; skin dark purplish red; firm; good blend of acids and sugars, 19 °Brix; keeping and shipping quality good; ripens 29 June to 15 July in San Joaquin Valley, CA. Tree: small to medium; vigor moderate; productive; flowers white, self-incompatible; leaf glands globose."
C5,"See HoneySweet"
"Candy Heart Pluerry™","See Sweet Pixie 5"
"Dapple Delight","Red-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 6ZB206 × 10HD820. USPP 28,368; 12 Sept. 2017. Fruit: medium to large, 173.2 g; globose; skin mottled red; firm; flavor very good, balanced, 16.4 °Brix; keeping and shipping quality good; ripens 7-17 July near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement moderate, 600 h; leaf glands globose."
"Ebony Punch","Red-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 29MF690A × 69ZN32. USPP 31,823; 2 June 2020. Fruit: medium, 116.4 g; globose; skin dark red; firm; sweetness and acidity balanced, 13 °Brix; keeping and shipping quality good; ripens 25 May to 4 June near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement low, 400 h; leaf glands globose."
"Emerald Blush","Yellow-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 53LG662 × 46GK97. USPP 27,293; 25 Oct. 2016. Fruit: small to medium, 102.2 g; globose; skin attractive green/yellow; firm; sweetness and acidity balanced, 18.3 °Brix; keeping and shipping quality good; ripens 16-26 July near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement low, 400 h; leaf glands globose."
"Flavor Baby","Red-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 22M650 × Coparose. USPP 28,219; 25 July 2017. Fruit: medium, 119.3 g; globose; skin speckled red; firm; sweetness and acidity balanced, 16 °Brix; keeping and shipping quality good; ripens 1-10 July near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement moderate, 600 h; leaf glands globose."
"Flavor Punch","Yellow-fleshed, clingstone interspecific plum, marketed as a Pluerry™. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. Sweet Pixzee 2 × 46MB665; complex pedigree includes, plum, cherry, and peach. USPP 27,030; 9 Aug. 2016. Fruit: small to medium, 102.2 g; globose; skin dark red; firm; sweetness and acidity balanced, 22.5 °Brix; keeping and shipping quality good; ripens 16-26 Aug. near Modesto, CA. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement high, 1000 h; leaf glands globose."
Flavorzee-290,"Yellow-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 67ZN168 × 37ZP705. USPP 32,703; 29 Dec. 2020. Fruit: medium to large, 162.7 g; globose; skin purple; firm; balanced sweetness and acidity, 20 °Brix; keeping and shipping quality good; ripens 4-14 Aug. near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement moderate, 700 h; leaf glands globose."
Flavorzee-517,"Yellow-fleshed, clingstone interspecific plum. Origin: Zaiger’s Genetics, Modesto, CA, by G.N. Zaiger, L.M. Gardner, and G.G. Zaiger. 165BA516 × 19MF482. USPP 32,851; 2 Mar. 2021. Fruit: medium, 113.6 g; globose; skin dark red; firm; sweetness and acidity balanced, 15.3 °Brix; keeping and shipping quality good; ripens 20-30 May near Modesto. Tree: large; vigorous; upright; productive; flowers white, self-incompatible; chilling requirement low, 400 h; leaf glands globose."
