id,title,grant date,result link,representative figure link
US-PP36186-P2,Interspecific prunus tree named ‘Sweet Pixie 6’,2024-10-08,https://patents.google.com/patent/USPP36186P2/en,https://patentimages.storage.googleapis.com/45/1b/9f/08f274c4b62fd3/USPP036186-20241008-D00001.png
US-PP35196-P2,Interspecific tree named ‘Lavish Lacey’ ,2023-05-30,https://patents.google.com/patent/USPP35196P2/en,https://patentimages.storage.googleapis.com/34/8d/02/72ad60fa547b9d/USPP035196-20230530-D00001.png
US-PP35178-P2,Interspecific prunus tree named ‘FLAVOR FIESTA’ ,2023-05-23,https://patents.google.com/patent/USPP35178P2/en,https://patentimages.storage.googleapis.com/51/5c/a0/6e4fef643199ba/USPP035178-20230523-D00001.png
US-PP34290-P2,Interspecific Prunus tree named ‘Flavor Kist’ ,2022-06-07,https://patents.google.com/patent/USPP34290P2/en,https://patentimages.storage.googleapis.com/9d/a3/8f/9c939250a52424/USPP034290-20220607-D00001.png
US-PP34426-P2,Interspecific Prunus tree named ‘Flavor May’ ,2022-07-19,https://patents.google.com/patent/USPP34426P2/en,https://patentimages.storage.googleapis.com/9e/4f/a1/0724ccce6646ef/USPP034426-20220719-D00001.png
US-PP34087-P2,Interspecific tree named ‘FLAVOR JOY’ ,2022-04-05,https://patents.google.com/patent/USPP34087P2/en,https://patentimages.storage.googleapis.com/fa/e8/8e/f8dfe2ec96e68b/USPP034087-20220405-D00001.png
US-PP35352-P2,Interspecific tree named ‘FLAVOR BELLE’ ,2023-08-29,https://patents.google.com/patent/USPP35352P2/en,https://patentimages.storage.googleapis.com/49/a6/db/4a4d50fa905dfb/USPP035352-20230829-D00001.png
US-PP33622-P2,Interspecfic almond tree named ‘ALM-754’,2021-11-09,https://patents.google.com/patent/USPP33622P2/en,https://patentimages.storage.googleapis.com/3f/64/06/4f2ce581b840e8/USPP033622-20211109-D00001.png
US-PP33444-P2,Interspecific Prunus tree named ‘Sangria Red-2’,2021-09-07,https://patents.google.com/patent/USPP33444P2/en,https://patentimages.storage.googleapis.com/a6/f5/ef/1ad62441d870ef/USPP033444-20210907-D00001.png
US-PP32878-P2,Interspecific tree named ‘Sangria Red’ ,2021-03-09,https://patents.google.com/patent/USPP32878P2/en,https://patentimages.storage.googleapis.com/5f/c8/34/b442a4d40e258a/USPP032878-20210309-D00001.png
US-PP32851-P2,Interspecific tree named ‘Flavorzee-517’,2021-03-02,https://patents.google.com/patent/USPP32851P2/en,https://patentimages.storage.googleapis.com/ae/db/03/94d9471214d9a2/USPP032851-20210302-D00001.png
US-PP32703-P2,Interspecific tree named ‘Flavorzee-290’,2020-12-29,https://patents.google.com/patent/USPP32703P2/en,https://patentimages.storage.googleapis.com/eb/7a/32/9ade1c9f4a4457/USPP032703-20201229-D00001.png
US-PP31823-P2,Interspecific tree named ‘Ebony Punch’ ,2020-06-02,https://patents.google.com/patent/USPP31823P2/en,https://patentimages.storage.googleapis.com/35/86/4f/60ffce97c570a1/USPP031823-20200602-D00001.png
US-PP29881-P2,Interspecific tree named ‘Sunset Plapple’ ,2018-11-27,https://patents.google.com/patent/USPP29881P2/en,https://patentimages.storage.googleapis.com/ad/60/c5/bd2cb1bf06d40a/USPP029881-20181127-D00001.png
US-PP29882-P2,Interspecific tree named ‘Sherri's Flavor’ ,2018-11-27,https://patents.google.com/patent/USPP29882P2/en,https://patentimages.storage.googleapis.com/ca/f1/8e/9ae132c018eab8/USPP029882-20181127-D00001.png
US-PP30010-P2,Interspecific tree named ‘Sweet Kashel’ ,2018-12-25,https://patents.google.com/patent/USPP30010P2/en,https://patentimages.storage.googleapis.com/14/4f/df/7e780ed71e6897/USPP030010-20181225-D00001.png
US-PP29366-P2,Interspecific tree named ‘Flavor Mist’ ,2018-06-12,https://patents.google.com/patent/USPP29366P2/en,https://patentimages.storage.googleapis.com/f3/92/f2/d486cf5c4a328e/USPP029366-20180612-D00001.png
US-PP28137-P2,Interspecific tree named ‘Hermosa’ ,2017-06-27,https://patents.google.com/patent/USPP28137P2/en,https://patentimages.storage.googleapis.com/3e/d1/14/dbc9eb5f07ba02/USPP028137-20170627-D00001.png
US-PP28151-P2,Interspecific tree named ‘Rich Magic’ ,2017-07-04,https://patents.google.com/patent/USPP28151P2/en,https://patentimages.storage.googleapis.com/74/f2/9f/a1a99d4f7cd773/USPP028151-20170704-D00001.png
US-PP27868-P2,Interspecific tree named ‘Seacliff’ ,2017-04-11,https://patents.google.com/patent/USPP27868P2/en,https://patentimages.storage.googleapis.com/9a/86/7c/4ba4252778b3f0/USPP027868-20170411-D00001.png
US-PP27825-P2,Interspecific tree named ‘Autumn Charm’ ,2017-04-04,https://patents.google.com/patent/USPP27825P2/en,https://patentimages.storage.googleapis.com/95/59/05/264ceb7c22f2ac/USPP027825-20170404-D00001.png
US-PP27826-P2,Interspecific tree named ‘Bella Jean’ ,2017-04-04,https://patents.google.com/patent/USPP27826P2/en,https://patentimages.storage.googleapis.com/52/cf/77/55bbdec8ffe64e/USPP027826-20170404-D00001.png
US-PP28367-P3,Interspecific tree named ‘Carlsbad’ ,2017-09-12,https://patents.google.com/patent/USPP28367P3/en,https://patentimages.storage.googleapis.com/df/f8/74/5940901efa0b6d/USPP028367-20170912-D00001.png
US-PP27824-P3,Interspecific tree named ‘Kings Kat’ ,2017-04-04,https://patents.google.com/patent/USPP27824P3/en,https://patentimages.storage.googleapis.com/80/f9/61/a24bd3e666a416/USPP027824-20170404-D00001.png
US-PP27543-P2,Interspecific tree named ‘Autumn Magic’ ,2017-01-17,https://patents.google.com/patent/USPP27543P2/en,https://patentimages.storage.googleapis.com/cd/7b/8b/0d088ae23a6a9a/USPP027543-20170117-D00001.png
US-PP27188-P2,Interspecific tree named ‘Redondo’ ,2016-09-27,https://patents.google.com/patent/USPP27188P2/en,https://patentimages.storage.googleapis.com/23/b4/5a/a25a05ac0187a4/USPP027188-20160927-D00001.png
US-PP27294-P3,Interspecific tree named ‘Amigo III’ ,2016-10-25,https://patents.google.com/patent/USPP27294P3/en,https://patentimages.storage.googleapis.com/b1/8f/fc/ca9ddfa8b965c9/USPP027294-20161025-D00001.png
US-PP26918-P3,Interspecific tree named ‘Malibu’ ,2016-07-12,https://patents.google.com/patent/USPP26918P3/en,https://patentimages.storage.googleapis.com/59/a5/67/06bf25b928d848/USPP026918-20160712-D00001.png
US-PP26732-P2,Interspecific tree named ‘Polar Pride’ ,2016-05-17,https://patents.google.com/patent/USPP26732P2/en,https://patentimages.storage.googleapis.com/89/89/4a/71a4d08bc22e14/USPP026732-20160517-D00001.png
US-PP27065-P3,Interspecific tree named ‘Autumn Fritz’ ,2016-08-16,https://patents.google.com/patent/USPP27065P3/en,https://patentimages.storage.googleapis.com/0f/13/08/41d72a13b74f91/USPP027065-20160816-D00001.png
US-PP26203-P3,Interspecific tree named ‘AMBER GLO’ ,2015-12-15,https://patents.google.com/patent/USPP26203P3/en,https://patentimages.storage.googleapis.com/36/ae/18/61cc265a0cbbbe/USPP026203-20151215-D00001.png
US-PP26032-P3,Interspecific tree named ‘Newroot-3’,2015-11-03,https://patents.google.com/patent/USPP26032P3/en,https://patentimages.storage.googleapis.com/66/c4/d9/54f34185a1dcf0/USPP026032-20151103-D00001.png
US-PP25811-P2,Interspecific tree named ‘Crimson Carson’ ,2015-08-18,https://patents.google.com/patent/USPP25811P2/en,https://patentimages.storage.googleapis.com/39/7b/e7/f04ec21be7df79/USPP025811-20150818-D00001.png
US-PP26204-P3,Interspecific tree named ‘Crimson Rose’ ,2015-12-15,https://patents.google.com/patent/USPP26204P3/en,https://patentimages.storage.googleapis.com/b4/10/31/f134387effb8e8/USPP026204-20151215-D00001.png
US-PP25091-P3,Interspecific tree named ‘Bella Sweet’ ,2014-11-25,https://patents.google.com/patent/USPP25091P3/en,https://patentimages.storage.googleapis.com/b2/4a/6c/a4b17e5074bea6/USPP025091-20141125-D00001.png
US-PP24775-P3,Interspecific tree named ‘Laguna’ ,2014-08-19,https://patents.google.com/patent/USPP24775P3/en,https://patentimages.storage.googleapis.com/2e/0e/68/6f71215ecc19b4/USPP024775-20140819-D00001.png
US-PP23124-P2,Interspecific rootstock tree named ‘Newroot-2’,2012-10-23,https://patents.google.com/patent/USPP23124P2/en,https://patentimages.storage.googleapis.com/1e/a7/ff/e6ae7010dcd620/USPP023124-20121023-D00001.png
