Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,1,42.1
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,1,42.4
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,1,(H)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,1,42.1
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,1,(H)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,3,(L)
CENSUS,2022,YEAR,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,3,57.7
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,3,53.8
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,53.8
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,2,50.2
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,1,62.1
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,4,53.8
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,3,50.2
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,53.8
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,2,50.2
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED,1,55.3
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,1,62.1
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,8,57.7
CENSUS,2022,YEAR,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,8,53.8
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MARIN,41,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MARIN,41,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MARIN,41,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,54.7
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MARIN,41,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,2,86.5
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (Z),41.2
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (Z),67.2
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,4,54.7
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,4,86.5
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,1,41.2
CENSUS,2022,YEAR,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,PLUM-APRICOT HYBRIDS,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
