year,name,acid,sugar,flavor,overall
1993,Flavor Supreme,3.2,3.6,4.3,7.2
1994,Flavor Supreme,3.3,3.7,4.5,7.7
1995,Flavor King,3.1,3.9,4.4,8.1
1995,Dapple Dandy,3.5,3.6,4.3,7.3
1996,Dapple Dandy,3.2,3.9,4.5,7.9
1996,Flavor King,3.5,3.8,4.2,7.4
1997,Emerald Drop,3.1,3.4,3.9,6.8
1998,Flavor Queen,2.4,3.7,4,7
2000,Flavor King,3.1,3.8,4.9,7.9
2001,Flavor Grenade,3,3.5,4.1,6.8
2001,Splash,2.8,3.5,4,6.8
2003,Flavor King,3,3.8,4.6,7.7
2003,Splash,3.2,3.3,4,6.7
2004,Dapple Dandy,3,3.8,4.4,7.1
2004,Flavor Grenade,2.8,3.7,4.1,7.1
2004,Flavor King,3,3.9,4,6.9
2004,Flavor Finale,3.3,3.6,3.9,6.7
2005,Flavor King,3.2,3.9,4.5,7.6
2005,Emerald Drop,3,3.8,4.4,7.5
2005,Flavor Supreme,3.3,3.7,4.3,7.4
2005,Dapple Dandy,3,3.5,4,7
2005,Splash,3.3,3.5,3.8,6.6
2008,Emerald Drop,2.9,3.6,4.1,6.6
2009,Flavor King,3,3.7,4.2,7.1
2009,Flavor Finale,3.2,3.5,4.2,7
2009,Flavor Queen,2.7,3.5,4,6.8
2009,Flavor Grenade,2.6,3.7,4.1,6.7
2011,Flavor King,3.3,3.5,4.3,7.2
2011,Geo Pride,2.9,3.7,3.9,6.9
2011,Dapple Dandy,3.2,3.4,4,6.9
2011,Flavor Grenade,3.2,3.5,3.8,6.5
2012,Geo Pride,3,3.4,3.7,6.4
2013,Dapple Dandy,3,3.5,4,7
2014,Flavor Grenade,2.9,3.5,3.8,6.6
2014,Flavor Queen,2.8,3.6,3.8,6.6
2014,Honey Punch,3.1,3.6,4.1,7.1
2014,Dapple Dandy,3.3,3.1,3.6,6.2
