title,pluot name,year,scraped_brix,Best taste test score (1-9),Average overall score for years it scored 6.0+,Flavor average score (0-5),Bottom 50% attractiveness,Farmer’s market fave,Packing variety,flesh.color,flesh.munsell,flesh.hex,flesh.rhs,skin.color,skin.munsell,skin.hex,skin.rhs,handpicked_brix,Skin color,Flesh color,chill_hrs,notes,Harvest time
Interspecific tree named ‘AMBER GLO’,Amber Glo,2015,18,,,,,,,Color.— Varies from 10YR 7/10 to,['10YR 7/10'],['#e2a433'],[],Color.— Varies from 10YR 7/10 to 10YR 7/12.,"['10YR 7/10', '10YR 7/12']","['#e2a433', '#E6A000']",[],,,,,,
,Amigo 1,2009,15.8,,,,,,y,,,,,,,,,16,blue-red,red-tinged yellow,700,"plum-like, most tart pluot",
Interspecific tree named ‘Amigo II’,Amigo 2,2007,17.6,,,,,,,Color.— Varies from 2.5Y 8.5/6 to 2.5Y 7.8. Pit cavity 10YR 7/8 to 2.5Y 6/6.,"['10YR 7/8', '2.5Y 6/6']","['#dba650', '#b19049']",[],"Color.— Ground color varies from 5Y 7/6 to 7.5Y 8/8. Overspread with 5R 3/6 to 7.5R 2/6. Very small, randomly spaced areas of ground color exposed to skin surface giving a speckled pattern to the skin.","['5Y 7/6', '7.5Y 8/8', '5R 3/6', '7.5R 2/6']","['#c4ae5e', '#dccc56', '#753336', '#581d21']",[],18,red,orange,750-800,,
Interspecific tree named ‘Amigo III’,Amigo 3,2016,17.6,,,,,,,Color .—Varies from 2.5Y 8/4 to 5Y 8/6.,"['2.5Y 8/4', '5Y 8/6']","['#dfc895', '#dfca76']",[],"Color .—Ground color varies from 5Y 6/6 to 7.5Y 8/6. Overspread with 5R 4/6 to 7.5R 3/6. Small, randomly spaced areas of exposed ground color giving a speckling pattern to the surface.","['5Y 6/6', '7.5Y 8/6', '5R 4/6', '7.5R 3/6']","['#aa9345', '#d8cc75', '#904e4c', '#75342f']",[],,,,,,
Interspecific tree named ‘Autumn Charm’,Autumn Charm,2017,16,,,,,,,Color .—Varies from 10YR 8/6 to 10YR 7/8.,"['10YR 8/6', '10YR 7/8']","['#eec382', '#dba650']",[],Color .—Ground color varies from 7.5YR 7/10 to 5YR 7/10. Overspread with 7.5R 4/12 to 10R 3/8.,"['7.5YR 7/10', '5YR 7/10', '7.5R 4/12', '10R 3/8']","['#eb9f41', '#f39b4f', '#b2322b', '#7f2d1d']",[],,,,,,
Interspecific tree named ‘Autumn Fritz’,Autumn Fritz,2016,19,,,,,,,Color .—Varies from 2.5Y 7/6 to 10R 3/10.,"['2.5Y 7/6', '10R 3/10']","['#cdab63', '#892210']",[],Color .—Ground color varies from 10YR 6/8 to 10YR 7/10. Overspread with 7.5R 3/8 to 7.5R 3/10.,"['10YR 6/8', '10YR 7/10', '7.5R 3/8', '7.5R 3/10']","['#c08b36', '#e2a433', '#812a27', '#8b1d1e']",[],,,,,,
Interspecific tree named ‘Autumn Magic’,Autumn Magic,2017,21,,,,,,,Color .—Varies from 2.5Y 8.5/8 to 2.5Y 8/8.,['2.5Y 8/8'],['#efc561'],[],Color .—Ground color varies from 2.5Y 9/2 to 2.5Y 9/4. Overspread with 2.5R 2/2 to 5R 2/2.,"['2.5Y 9/2', '2.5Y 9/4', '2.5R 2/2', '5R 2/2']","['#f1e4c7', '#fbe3ac', '#412b2f', '#422b2d']",[],,,,,,
Interspecific tree named ‘Autumn Sprite’,Autumn Sprite,2006,15.6,,,,,,,Color. —Varies from 6.25YR 7/12 to 6.25YR 7/14. Pit cavity varies from 5YR 6/10 to 5YR 6/12.,"['6.25YR 7/12', '6.25YR 7/14', '5YR 6/10', '5YR 6/12']","[None, None, '#d68034', '#dd7c14']",[],"Color. —Varies from 7.5YR 7/10 to 7.5YR 7/12, darker color where exposed to direct sunlight.","['7.5YR 7/10', '7.5YR 7/12']","['#eb9f41', '#f39c1c']",[],,,,,,
Interspecific tree named ‘Bella Cerise’,Bella Cerise,2008,14.4,,,,,,,"Color.— Varies from 10YR 7/10 to 10YR 7/12. Pit cavity non-bleeding, color varies from 5YR 5/10 to 7.5YR 6/10.","['10YR 7/10', '10YR 7/12', '5YR 5/10', '7.5YR 6/10']","['#e2a433', '#E6A000', '#b86619', '#ce8524']",[],Color.— Ground color varies from 2.5Y 8.5/10 to 2.5Y 8/8. Overspread with 2.5R 4/8 to 5R 3/10. In areas near apex very small areas of ground color is exposed to surface giving a speckling pattern.,"['2.5Y 8/8', '2.5R 4/8', '5R 3/10']","['#efc561', '#9c4550', '#8d182b']",[],,,,,,
Interspecific tree named ‘Bella Jean’,Bella Jean,2017,18.2,,,,,,,Color .—Varies from 10YR 7/8 to 7.5R 4/10.,"['10YR 7/8', '7.5R 4/10']","['#dba650', '#a83d34']",[],Color .—Ground color varies from 10YR 6/8 to 7.5YR 6/10. Overspread with 7.5R 3/6 to 7.5R 3/8.,"['10YR 6/8', '7.5YR 6/10', '7.5R 3/6', '7.5R 3/8']","['#c08b36', '#ce8524', '#75342f', '#812a27']",[],,,,,,
